,times,sims,name,group,type,order
4721,4150,0.090597759,vol ava,neither,Standardisation 2,neither (Stand. 2)
4731,4650,0.103658551,vol ava,neither,Standardisation 2,neither (Stand. 2)
4811,4150,0.081615909,bon ava,neither,Standardisation 2,neither (Stand. 2)
4891,4150,0.147753352,tag ava,neither,Standardisation 2,neither (Stand. 2)
4901,4650,0.181419715,tag ava,neither,Standardisation 2,neither (Stand. 2)
4971,4150,0.146133307,lou ava,neither,Standardisation 2,neither (Stand. 2)
4981,4650,0.065463989,lou ava,neither,Standardisation 2,neither (Stand. 2)
5041,4150,0.150649293,lan ava,neither,Standardisation 2,neither (Stand. 2)
5051,4650,0.189213588,lan ava,neither,Standardisation 2,neither (Stand. 2)
5101,4150,0.049467932,ano ava,neither,Standardisation 2,neither (Stand. 2)
5111,4650,0.038359788,ano ava,neither,Standardisation 2,neither (Stand. 2)
5191,3650,0.032571429,lot plu,neither,Standardisation 2,neither (Stand. 2)
5201,4150,0.111243544,lot plu,neither,Standardisation 2,neither (Stand. 2)
5211,4650,0.027806461,lot plu,neither,Standardisation 2,neither (Stand. 2)
5291,3650,0.074571804,fin plu,neither,Standardisation 2,neither (Stand. 2)
5301,4150,0,fin plu,neither,Standardisation 2,neither (Stand. 2)
5311,4650,0.035970782,fin plu,neither,Standardisation 2,neither (Stand. 2)
5381,3650,0.106972208,vol plu,neither,Standardisation 2,neither (Stand. 2)
5391,4150,0.039984317,vol plu,neither,Standardisation 2,neither (Stand. 2)
5401,4650,0.14387663,vol plu,neither,Standardisation 2,neither (Stand. 2)
