original,standardisation_1,standardisation_1_reason,standardisation_2,standardisation_2_reason
Malpighiaceae,Malpighiaceae,,Malpighiaceae,
Malvaceae,Malvaceae,,Malvaceae,
Malvaceae- other,Malvaceae,removed notation,Malvaceae,removed notation
Malvaceae undiff.,Malvaceae,removed notation,Malvaceae,removed notation
Marattiaceae,Marattiaceae,,Marattiaceae,
Maytenus,Maytenus,,Maytenus,
Medinilla comp.,Medinilla,removed notation,Melastomataceae,aggregated up
Medusanthera T?,Medusanthera,removed notation,Stemonuraceae,aggregated up
Melaleuca,Melaleuca,,Melaleuca,
Melastoma,Melastoma,,Melastoma,
Melastomataceae,Melastomataceae,,Melastomataceae,
Melastomataceae undif.,Melastomataceae,removed notation,Melastomataceae,removed notation
Melastromataceae/Sapotaceae,remove,uncertainty greater than family level,remove,uncertainty greater than family level
MELIACEAE,Meliaceae,,Meliaceae,
Meliaceae,Meliaceae,,Meliaceae,
Meliaceae/ Sapotaceae,remove,uncertainty greater than family level,remove,uncertainty greater than family level
Melicope,Melicope,,Melicope,
Melicytus,Melicytus,,Melicytus,
Melochia,Melochia,,Melochia,
MENISPERMACEAE  Type,Menispermaceae,removed notation,remove,uncertainty greater than family level
Meryta,Meryta,,Meryta,
Metrosideros,Metrosideros,,Metrosideros,
Metroxylon,Metroxylon,,Metroxylon,
Metroxylon vitiense,Metroxylon vitiense,,Metroxylon vitiense,
Microsorum,Microsorum,,Microsorum,
Momordica comp.,Momordica,removed notation,Cucurbitaceae,aggregated up
Monolete echinate,remove,uncertain type,remove,uncertain type
Monolete Other,remove,uncertain type,remove,uncertain type
Monolete psilate,remove,uncertain type,remove,uncertain type
Monolete Psilate,remove,uncertain type,remove,uncertain type
Monolete Psilate Large,remove,uncertain type,remove,uncertain type
Monolete Psilate Medium,remove,uncertain type,remove,uncertain type
Monolete Psilate Small,remove,uncertain type,remove,uncertain type
Monolete spore undif.,remove,uncertain type,remove,uncertain type
Monolete spores,remove,uncertain type,remove,uncertain type
Moraceae,Moraceae,,Moraceae,
Moraceae/Urticaceae,remove,uncertainty greater than family level,remove,uncertainty greater than family level
Moraceae/Urticaceae undif.,remove,uncertainty greater than family level,remove,uncertainty greater than family level
Morinda comp.,Morinda,removed notation,Rubiaceae,aggregated up
Muehlenbeckia,Muehlenbeckia,,Muehlenbeckia,
Mussaenda,Mussaenda,,Mussaenda,
Myoporum,Myoporum,,Myoporum,
Myoporum rapense,Myoporum rapense,,Myoporum rapense,
Myriophyllum,Myriophyllum,,Myriophyllum,
Myristica,Myristica,,Myristica,
Myrsina sp.,Myrsine,spelling and removed notation,Myrsine,spelling
MYRSINACEAE,Primulaceae,synonym,Primulaceae,synonym
Myrsine,Myrsine,,Myrsine,
Myrsineaceae,Primulaceae,synonym,Primulaceae,synonym
Myrtaceae,Myrtaceae,,Myrtaceae,
Myrtaceae (type 1),Myrtaceae,removed notation,Myrtaceae,removed notation
Myrtaceae (type 2),Myrtaceae,removed notation,Myrtaceae,removed notation
Myrtaceae (type 3),Myrtaceae,removed notation,Myrtaceae,removed notation
Myrtaceae (type 4),Myrtaceae,removed notation,Myrtaceae,removed notation
Myrtaceae undif.,Myrtaceae,removed notation,Myrtaceae,removed notation
Myrtaceae undiff.,Myrtaceae,removed notation,Myrtaceae,removed notation
NCSS32 Type,remove,uncertain type,remove,uncertain type
NC-SS-32 Type,remove,uncertain type,remove,uncertain type
Neocallitropsis,Callitris,synonym,Callitris,synonym
Neomyrtus-type,Neomyrtus,removed notation,Myrtaceae,aggregated up
Neonauclea,Neonauclea,,Neonauclea,
Neonauclea comp.,Neonauclea,removed notation,Rubiaceae,aggregated up
Neonauclea Type?,Neonauclea,removed notation,Rubiaceae,aggregated up
Neonauclea</i> Type?,Neonauclea,removed notation,Rubiaceae,aggregated up
Nepenthes,Nepenthes,,Nepenthes,
Nertera</i> Type,Nertera,removed notation,Rubiaceae,aggregated up
Nestegis,Nestegis,,Nestegis,
Neuburgia,Neuburgia,,Neuburgia,
Nothofagus,Nothofagus,,Nothofagus,
Nymphoides,Nymphoides,,Nymphoides,
Nymphoides comp.,Nymphoides,removed notation,Menyanthaceae,aggregated up
Nymphoides indica,Nymphoides indica,,Nymphoides indica,
Olacaceae 6p triangle,Olacaceae,removed notation,Olacaceae,removed notation
Oleaceae,Oleaceae,,Oleaceae,
Olearia colensoi,Macrolearia colensoi,synonym,Macrolearia colensoi,synonym
Omalanthus,Homalanthus,synonym,Homalanthus,synonym
Onagraceae,Onagraceae,,Onagraceae,
Ophioglossum,Ophioglossum,,Ophioglossum,
Ophiorrhiza,Ophiorrhiza,,Ophiorrhiza,
Orchidaceae,Orchidaceae,,Orchidaceae,
